Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Florosaurus,DE,Android Phone,0,str,Stromberg - Der Film,select,title_results,2021-09-05 13:14:03
Florosaurus,DE,iPad,0,kesslers,,add,,2021-08-13 08:42:48
Florosaurus,DE,iPad,0,kesslers,,select,,2021-08-13 08:42:20
Florosaurus,DE,iPad,0,house,"House of Cards: Season 3: ""Chapter 27""",play,,2021-08-04 19:21:14
Florosaurus,DE,iPad,0,house,,select,,2021-08-04 19:20:51
Florosaurus,DE,Android Phone,0,the turing ,The Imitation Game,select,title_results,2021-07-20 09:56:48
Florosaurus,DE,Android Phone,0,operatio,Operation Finale,select,title_results,2021-07-20 09:51:48
Florosaurus,DE,Android Phone,0,operatio,Operation Valkyrie,select,title_results,2021-07-20 09:51:39
Florosaurus,DE,iPad,0,the ra,,select,,2021-07-10 20:31:13
Florosaurus,DE,iPad,0,the ra,,select,,2021-07-10 20:30:55
Florosaurus,DE,iPad,0,winne,The Treasure of the Silver Lake ,play,,2021-07-09 22:48:44
Florosaurus,DE,iPad,0,winne,The Treasure of the Silver Lake ,select,,2021-07-09 22:48:35
Florosaurus,DE,iPad,0,blacklist,,select,,2021-07-04 15:29:36
Florosaurus,DE,iPad,0,lupi,,add,,2021-07-04 13:41:33
Florosaurus,DE,iPad,0,lupi,,select,,2021-07-04 13:41:28
Florosaurus,DE,iPad,0,mitt,Mitt,play,,2021-07-03 06:55:14
Florosaurus,DE,iPad,0,mitt,Mitt,select,,2021-07-03 06:55:10
Florosaurus,DE,Android Phone,0,mitt,Mitt,select,title_results,2021-07-02 22:48:49
Florosaurus,DE,iPad,0,moder,"Modern Family: Season 2: ""The Old Wagon""",play,,2021-06-19 00:43:46
Florosaurus,DE,iPad,0,moder,,select,,2021-06-19 00:43:25
Florosaurus,DE,iPad,0,rupert gr,,select,,2021-06-03 18:27:01
Florosaurus,DE,iPad,0,it,It,add,,2021-05-10 20:34:17
Florosaurus,DE,iPad,0,it,It,select,,2021-05-10 20:34:04
Florosaurus,DE,iPad,0,arres,,select,,2021-05-05 09:11:14
Florosaurus,DE,iPad,0,hinda,"Braunschlag: Staffel 1: ""Ein heiliges Wunder""",play,,2021-04-25 17:56:31
Florosaurus,DE,iPad,0,hinda,,select,,2021-04-25 17:56:26
Florosaurus,DE,iPad,0,peaky ,"Peaky Blinders: Season 1: ""Episode 1""",play,,2021-04-16 23:19:54
Florosaurus,DE,iPad,0,peaky ,,select,,2021-04-16 23:19:42
Florosaurus,DE,iPad,0,hit,,select,,2021-04-14 00:46:39
Florosaurus,DE,iPad,0,raum,,select,,2021-04-08 09:21:55
Florosaurus,DE,iPad,0,mo,,select,,2021-04-07 23:49:55
Florosaurus,DE,iPad,0,alan tur,The Imitation Game,play,,2021-03-26 22:16:43
Florosaurus,DE,iPad,0,alan tur,The Imitation Game,select,,2021-03-26 22:16:36
Florosaurus,DE,MVPD STB,0,tig,,play,,2021-03-18 22:08:52
Florosaurus,DE,MVPD STB,0,tig,,select,,2021-03-18 22:08:27
Florosaurus,DE,MVPD STB,0,kill,,play,,2021-03-18 22:03:07
Florosaurus,DE,MVPD STB,0,kill,,select,,2021-03-18 22:03:02
Florosaurus,DE,iPad,0,das,,add,,2021-03-13 16:57:19
Florosaurus,DE,iPad,0,das,,select,,2021-03-13 16:57:14
Florosaurus,DE,iPad,0,hitl,Operation Valkyrie,select,,2021-03-05 01:36:42
Florosaurus,DE,iPad,0,hitl,Thirteen,select,,2021-03-05 01:36:29
Florosaurus,DE,iPad,0,hitl,Hitler - A Career,select,,2021-03-05 01:36:00
Florosaurus,DE,iPad,0,der teufel ,"The Devil Next Door: Limited Series: ""The Devil Lives in Cleveland""",play,,2021-03-03 15:40:56
Florosaurus,DE,iPad,0,der teufel ,,select,,2021-03-03 15:40:39
Florosaurus,DE,iPad,0,der,Der Goldene Handschuh,add,,2021-03-03 15:40:27
Florosaurus,DE,iPad,0,der,Der Goldene Handschuh,select,,2021-03-03 15:40:11
Florosaurus,DE,iPad,0,killer,"Killer Ratings: Season 1: ""The Accusation""",play,,2021-02-20 16:48:27
Florosaurus,DE,iPad,0,killer,,select,,2021-02-20 16:48:21
Florosaurus,DE,iPad,0,brookl,,add,,2021-02-12 12:47:06
Florosaurus,DE,iPad,0,brookl,,select,,2021-02-12 12:46:54
Florosaurus,DE,iPad,0,die ha,Die Hard,play,,2021-01-29 00:15:15
Florosaurus,DE,iPad,0,die ha,Die Hard,select,,2021-01-29 00:15:04
Florosaurus,DE,iPad,0,matr,,select,,2021-01-29 00:14:19
Florosaurus,DE,iPad,0,matr,The Matrix,select,,2021-01-29 00:14:10
Florosaurus,DE,iPad,0,ozar,,select,,2021-01-29 00:12:57
Florosaurus,DE,iPad,0,ozar,,select,,2021-01-29 00:12:48
Florosaurus,DE,iPad,0,str,,select,,2021-01-19 00:59:53
Florosaurus,DE,iPad,0,moder,,select,,2021-01-01 18:44:23
Florosaurus,DE,iPad,0,far,,select,,2020-12-24 10:22:53
Florosaurus,DE,iPad,0,big,"The Big Bang Theory: Season 1: ""The Fuzzy Boots Corollary""",play,,2020-12-20 01:01:45
Florosaurus,DE,iPad,0,big,,select,,2020-12-20 01:01:21
Florosaurus,DE,iPad,0,zwei,Lucky Luke,select,,2020-12-20 00:56:36
Florosaurus,DE,iPad,0,zwei,"Two Santas: Season 1: ""Zwei Weihnachtsmänner: Part 1""",play,,2020-12-20 00:18:52
Florosaurus,DE,iPad,0,zwei,,select,,2020-12-20 00:18:44
Florosaurus,DE,iPad,0,,,select,,2020-12-20 00:10:51
Florosaurus,DE,iPad,0,weih,"Over Christmas: Limited Series: ""Home Is Where the Tree Is""",play,,2020-12-19 01:47:34
Florosaurus,DE,iPad,0,weih,,select,,2020-12-19 01:47:22
Florosaurus,DE,iPad,0,1000,100 Things,play,,2020-12-10 08:33:05
Florosaurus,DE,iPad,0,1000,100 Things,select,,2020-12-10 08:32:57
Florosaurus,DE,iPad,0,wir können,Christmas Crossfire,play,,2020-12-08 17:56:29
Florosaurus,DE,iPad,0,wir können,Christmas Crossfire,select,,2020-12-08 17:56:18
Florosaurus,DE,iPad,0,jason bateman,Identity Thief,select,,2020-12-03 16:04:41
Florosaurus,DE,iPad,0,the gift,,select,,2020-12-03 16:04:14
Florosaurus,DE,iPad,0,my n,,select,,2020-11-27 23:45:19
Florosaurus,DE,iPad,0,my n,My Next Guest with David Letterman and Shah Rukh Khan,select,,2020-11-27 23:45:02
Florosaurus,DE,iPad,0,otto ,Otto - Der Neue Film,select,,2020-11-17 12:06:28
Florosaurus,DE,iPad,0,otto ,Otto - Der Außerfriesische,select,,2020-11-17 12:06:12
Florosaurus,DE,iPad,0,michael dou,Seven,play,,2020-10-11 13:02:11
Florosaurus,DE,iPad,0,michael dou,Seven,select,,2020-10-11 13:01:54
Florosaurus,DE,iPad,0,michael dou,Primal Fear,select,,2020-10-11 13:01:31
Florosaurus,DE,iPad,0,michael dou,Fracture,select,,2020-10-11 13:00:10
Florosaurus,DE,iPad,0,big ,,select,,2020-10-10 07:18:05
Florosaurus,DE,iPad,0,big,,select,,2020-10-05 10:39:15
Florosaurus,DE,iPad,0,big ,,select,,2020-10-05 07:57:37
Florosaurus,DE,iPad,0,das ,The Social Dilemma,play,,2020-09-20 07:04:59
Florosaurus,DE,iPad,0,das ,The Social Dilemma,select,,2020-09-20 07:04:47
Florosaurus,DE,iPad,0,das ,"The Last Word: Season 1: ""Episode 5""",play,,2020-09-20 06:39:49
